episode,epsilon,Q_Up,Q_Down,Q_LEFT,Q_RIGHT,visits
0,1.0,0.0,0.0,-0.19,-1000.0,3.0
1,0.9999901,0.0,0.0,-0.19,-1000.0,3.0
2,0.9999802,0.0,0.0,-0.19,-1000.0,3.0
3,0.9999703,-0.1,0.0,-0.19,-1810.0900000000001,6.0
4,0.9999604,-0.19,0.0,-0.34390000000000004,-2629.081,10.0
5,0.9999505,-0.19,-0.1,-0.34390000000000004,-3366.1729,12.0
6,0.9999406,-0.28981,-0.1,-0.34390000000000004,-4029.5556100000003,14.0
7,0.9999307,-0.28981,-0.1,-0.34390000000000004,-4626.600049000001,15.0
8,0.9999208,-0.28981,-0.1,-0.34390000000000004,-4626.600049000001,15.0
9,0.9999109,-0.28981,-0.1,-0.34390000000000004,-4626.600049000001,15.0
10,0.999901,-0.28981,-0.1,-0.34390000000000004,-4626.600049000001,15.0
11,0.9998911,-0.37072900000000003,-0.1,-0.34390000000000004,-5163.940044100001,17.0
12,0.9998812,-0.37072900000000003,-0.1,-0.34390000000000004,-5163.940044100001,17.0
13,0.9998713,-1000.3336561,-0.19990000000000002,-0.34390000000000004,-5163.940044100001,19.0
14,0.9998614,-1000.3336561,-0.19990000000000002,-0.34390000000000004,-5163.940044100001,19.0
15,0.9998515,-1000.3336561,-0.19990000000000002,-0.34390000000000004,-5163.940044100001,19.0
16,0.9998416,-900.44171407,-0.19990000000000002,-0.34390000000000004,-5163.940044100001,20.0
17,0.9998317,-900.44171407,-0.19990000000000002,-0.34390000000000004,-5163.940044100001,20.0
18,0.9998218,-729.6264931987,-0.91078939642677,-0.63820238846051,-4183.05161785059,35.0
19,0.9998119,-656.81806916863,-0.91078939642677,-0.63820238846051,-4183.05161785059,36.0
20,0.999802,-656.81806916863,-0.91078939642677,-0.63820238846051,-3764.9061389263516,37.0
21,0.9997921,-656.81806916863,-0.91078939642677,-0.63820238846051,-3764.9061389263516,37.0
22,0.9997822,-656.81806916863,-0.91078939642677,-0.63820238846051,-3764.9061389263516,37.0
23,0.9997723,-656.81806916863,-0.91078939642677,-0.63820238846051,-3764.9061389263516,37.0
24,0.9997624,-656.81806916863,-0.91078939642677,-0.63820238846051,-3764.9061389263516,37.0
25,0.9997525,-656.81806916863,-0.91078939642677,-0.63820238846051,-3764.9061389263516,37.0
26,0.9997426,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
27,0.9997327,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
28,0.9997228,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
29,0.9997129,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
30,0.999703,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
31,0.9996931,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
32,0.9996832,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
33,0.9996733,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
34,0.9996634,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
35,0.9996535,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
36,0.9996436,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
37,0.9996337,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
38,0.9996238,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
39,0.9996139,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
40,0.999604,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
41,0.9995941,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
42,0.9995842,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
43,0.9995743,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
44,0.9995644,-591.3362792433685,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,39.0
45,0.9995545,-532.4322468981179,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,40.0
46,0.9995446,-532.4322468981179,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,40.0
47,0.9995347,-532.4322468981179,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,40.0
48,0.9995248,-532.4322468981179,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,40.0
49,0.9995149,-532.4322468981179,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,40.0
50,0.999505,-532.4322468981179,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,40.0
51,0.9994951,-532.4322468981179,-0.91078939642677,-0.7783652907214486,-3764.9061389263516,40.0
52,0.9994852,-479.4570105814217,-0.9967686205655164,-0.7783652907214486,-3764.9061389263516,42.0
53,0.9994753,-479.4570105814217,-0.9967686205655164,-0.7783652907214486,-3764.9061389263516,42.0
54,0.9994654,-479.4570105814217,-0.9967686205655164,-0.7783652907214486,-3764.9061389263516,42.0
55,0.9994555,-479.4570105814217,-0.9967686205655164,-0.7783652907214486,-3764.9061389263516,42.0
56,0.9994456,-479.4570105814217,-0.9967686205655164,-0.7783652907214486,-3764.9061389263516,42.0
57,0.9994357,-479.4570105814217,-0.9967686205655164,-0.7783652907214486,-3764.9061389263516,42.0
58,0.9994258,-479.4570105814217,-0.9967686205655164,-0.7783652907214486,-3764.9061389263516,42.0
59,0.9994159,-479.4570105814217,-0.9967686205655164,-0.7783652907214486,-3764.9061389263516,42.0
60,0.999406,-479.4570105814217,-0.9967686205655164,-0.7783652907214486,-3764.9061389263516,42.0
61,0.9993961,-479.4570105814217,-0.9967686205655164,-0.7783652907214486,-3764.9061389263516,42.0
62,0.9993862,-1431.5113095232796,-0.9967686205655164,-1.166839459686098,-3388.6122192582284,48.0
63,0.9993763,-1431.5113095232796,-0.9967686205655164,-1.166839459686098,-3388.6122192582284,48.0
64,0.9993664,-1431.5113095232796,-0.9967686205655164,-1.166839459686098,-3388.6122192582284,48.0
65,0.9993565,-1431.5113095232796,-0.9967686205655164,-1.166839459686098,-3388.6122192582284,48.0
66,0.9993466,-1431.5113095232796,-1000.9861946667504,-1.166839459686098,-3388.6122192582284,50.0
67,0.9993367,-1431.5113095232796,-1000.9861946667504,-1.166839459686098,-3388.6122192582284,50.0
68,0.9993268,-1288.6316943648183,-1000.9861946667504,-1.166839459686098,-3388.6122192582284,51.0
69,0.9993169,-1288.6316943648183,-1000.9861946667504,-1.166839459686098,-3388.6122192582284,51.0
70,0.999307,-1288.6316943648183,-1000.9861946667504,-1.166839459686098,-3388.6122192582284,51.0
71,0.9992971,-1288.6316943648183,-1000.9861946667504,-1.166839459686098,-3388.6122192582284,51.0
72,0.9992872,-1288.6316943648183,-1000.9861946667504,-1.166839459686098,-3388.6122192582284,51.0
73,0.9992773,-1288.6316943648183,-1000.9861946667504,-1.166839459686098,-3388.6122192582284,51.0
74,0.9992674,-1160.0685757386568,-901.1030923065842,-1.166839459686098,-3388.6122192582284,53.0
